strainName1,strainName2,distance
39,33,0.5896
9,34,1.4954
11,34,0.8592
28,34,0.8115
3,35,2.2178
11,35,2.6732
12,35,3.5623
13,35,3.4702
16,35,-1.0977
18,35,2.558
19,35,2.269
20,35,1.6054
28,35,1.7558
29,35,2.8765
36,35,1.0068
5,36,0.4789
6,36,3.7463
11,36,1.2555
12,36,2.5942
13,36,2.3534
14,36,4.0448
15,36,1.5458
18,36,3.4033
19,36,3.2018
20,36,3.4466
21,36,0.4894
24,36,3.5697
29,36,3.1402
32,36,2.1937
35,36,1.0068
33,37,0.1026
38,37,0.4559
39,37,0.5688
0,38,0.5893
1,38,0.1487
2,38,-0.0029
9,38,1.8531
10,38,1.7484
11,38,2.079
28,38,0.9993
33,38,0.4307
37,38,0.4559
39,38,0.7179
2,39,1.5688
28,39,1.3802
33,39,0.5896
37,39,0.5688
38,39,0.7179
