strainName1,strainName2,distance
64,31,2.56
64,137,3.317
64,4,3.922
64,5,4.157
65,64,0.111
65,70,1.614
65,52,1.772
65,31,2.787
66,60,2.5
66,70,2.745
67,31,1.298
68,23,1.235
68,14,1.72
68,9,2.106
68,18,2.447
68,10,2.786
68,20,3.474
68,56,3.654
68,140,4.144
69,58,1.235
69,62,1.259
69,52,1.394
69,138,1.945
69,31,2.157
69,4,3.633
70,48,1.082
70,52,1.553
70,122,1.885
70,31,2.561
70,4,2.912
70,5,3.087
70,60,3.245
70,137,3.745
71,48,-0.272
71,70,0.745
71,31,0.949
71,122,3.987
72,8,0.792
73,101,0.415
73,105,0.62
73,145,0.962
73,146,1.292
73,0,1.792
74,156,0.359
74,106,1
74,108,1.325
74,102,1.611
74,109,2
74,132,5.36
75,76,-0.132
75,127,-0.113
75,125,0.096
75,78,0.161
75,6,0.184
75,141,0.402
75,82,0.571
75,93,1.386
76,94,0.459
76,96,0.5
76,82,0.691
76,84,1.698
76,77,1.861
76,146,4
77,93,0.174
77,97,0.361
77,94,0.446
77,84,0.575
77,95,0.868
77,91,1.288
77,75,1.664
77,76,1.861
77,82,2.12
77,79,2.861
77,146,3.255
77,101,5.119
78,125,0.547
78,82,0.983
78,95,1.026
78,84,1.329
79,93,0.658
79,91,1.404
79,84,2.198
80,101,0.034
80,105,0.404
80,73,1.292
81,6,0.141
82,113,0.276
82,76,0.691
82,112,0.898
82,96,1.191
83,145,0.695
83,101,0.789
83,1,1.616
83,87,2.17
83,104,2.469
84,97,0.198
84,95,0.236
84,94,0.448
84,123,0.491
84,77,0.575
84,6,0.685
84,125,1.002
84,141,1.141
84,127,1.188
84,112,1.198
84,139,1.267
84,75,1.308
84,78,1.329
84,81,1.49
84,82,1.588
84,93,1.684
84,76,1.698
84,79,2.198
84,91,2.272
84,124,2.329
84,146,3.426
84,101,4.424
85,81,0.5
85,82,1.898
85,95,2.026
86,145,0.055
86,105,0.07
86,143,0.2
86,83,0.228
86,146,0.364
86,101,0.486
86,73,0.959
86,144,0.975
86,1,1.836
86,91,4.07
86,103,4.145
86,88,4.406
86,104,4.625
86,93,5.032
86,79,5.166
87,90,0
87,92,0.104
87,91,0.432
87,89,0.689
87,145,2.616
88,91,-0.534
89,90,0.539
89,93,0.658
89,87,0.689
90,91,-0.6
90,88,-0.196
90,87,-0.014
90,87,0
90,92,0.247
90,89,0.539
90,93,0.586
90,83,3.222
90,144,3.268
90,145,3.37
91,87,0.904
91,89,0.904
91,79,1.404
91,97,1.904
93,96,-1.842
93,91,-0.344
93,88,0.265
93,79,0.658
93,97,0.658
93,87,0.778
93,92,0.865
93,87,1.158
93,90,1.158
93,81,1.658
93,127,1.946
93,113,2.158
93,78,2.289
93,82,2.372
93,85,2.658
93,116,2.658
93,122,2.672
93,110,3.158
93,121,3.185
93,111,3.332
93,52,3.452
93,120,3.554
94,75,0.035
94,93,0.304
94,82,0.393
94,76,0.459
94,91,1.502
94,99,1.959
95,94,-0.368
95,76,0.234
95,91,0.43
95,96,0.526
95,97,0.526
95,117,0.647
95,75,0.662
95,113,0.695
95,139,0.852
95,77,0.868
95,6,0.919
95,127,0.951
95,114,0.977
95,78,1.026
95,82,1.092
95,115,1.471
95,116,1.796
95,85,2.026
95,124,2.111
95,93,2.123
95,112,2.234
95,146,4.795
96,95,0.526
97,91,1.904
97,99,2
97,94,2.459
98,146,-0.058
98,86,0.239
98,101,0.563
98,145,0.67
98,83,0.803
98,1,2.038
98,90,5.831
99,97,2
99,77,2.861
100,104,0.072
100,103,1.697
100,152,1.956
100,156,2.075
100,106,2.33
100,157,3.5
100,160,3.511
101,153,-0.213
101,105,-0.106
101,80,0.034
101,145,0.044
101,102,0.192
101,156,0.227
101,73,0.415
101,98,0.563
101,146,0.619
101,144,0.887
101,0,0.949
101,150,1.158
101,162,1.237
101,147,1.242
101,151,1.954
101,1,3.043
101,91,3.23
101,94,4.77
101,88,4.884
101,93,5.06
101,90,5.331
102,153,-0.542
102,147,-0.465
102,153,-0.27
102,158,0.535
102,150,0.828
102,0,0.904
102,150,0.966
102,0,1.035
102,154,1.111
102,151,1.33
102,109,1.611
102,143,1.633
102,156,1.733
102,145,2.573
103,156,0.937
103,155,0.979
103,106,1.422
103,149,1.979
103,145,2.017
103,157,2.479
103,109,2.479
103,83,2.489
103,74,3.186
103,104,3.438
104,131,0.236
