,new_epitope_a,new_epitope_b,new_epitope_c,new_epitope_d,new_epitope_e,label
196,3,2,0,2,1,0.5
197,1,2,1,2,0,0.0
198,3,2,0,2,1,0.339
199,1,2,1,2,0,0.5
200,2,0,0,0,0,-0.928
201,1,0,0,2,0,-0.756
202,1,0,1,1,0,-0.636
203,0,2,0,1,0,-0.212
204,1,0,1,0,4,0.449
205,1,3,1,0,4,0.731
206,1,1,0,2,0,1.21
207,3,2,1,0,2,1.845
208,1,2,1,1,2,1.949
209,3,2,2,0,2,2.31
210,2,5,1,0,2,2.449
211,1,3,1,1,4,2.742
212,2,1,1,3,1,2.777
213,2,6,1,3,1,3.217
214,2,4,1,2,1,3.246
215,1,0,0,1,0,0.689
216,3,3,1,1,0,2.487
217,3,3,1,3,0,0.441
218,1,2,0,3,0,0.441
219,1,3,0,3,0,2.894
220,4,3,1,3,0,3.487
221,1,2,0,3,0,-1.972
222,2,2,0,1,0,-0.212
223,4,3,1,2,0,-0.557
224,3,0,0,1,1,-0.5
225,2,2,0,1,0,0.0
226,0,2,0,1,0,0.0
227,1,1,0,2,0,0.894
228,4,3,1,2,0,1.28
229,1,3,0,0,1,0.211
230,2,0,0,0,1,1.025
231,2,0,0,2,1,1.157
232,2,1,0,0,1,1.99
233,4,3,1,0,1,3.626
234,4,3,1,0,1,3.648
235,0,1,0,1,1,0.245
236,2,1,0,0,1,1.998
237,4,3,1,0,1,2.137
238,2,1,0,2,1,2.545
239,4,3,1,0,1,2.941
240,0,3,1,2,0,0.086
241,0,2,1,2,1,0.253
242,2,1,1,1,1,1.046
243,0,1,1,2,1,1.111
244,2,0,1,1,1,1.254
245,4,5,2,1,2,2.536
246,2,1,1,3,1,2.777
247,0,0,0,0,0,0.292
248,1,2,0,1,0,-0.208
249,1,3,0,1,0,0.35
250,1,2,0,1,0,0.728
251,2,3,1,1,0,3.026
252,0,2,0,0,0,1.165
253,1,2,0,0,0,1.894
254,1,1,0,0,0,2.113
255,3,4,1,0,0,2.987
256,3,4,1,0,0,3.441
257,3,4,1,1,0,3.816
258,1,0,0,1,0,0.0
259,2,1,0,1,0,2.023
260,2,2,0,1,0,2.394
261,4,4,1,1,0,2.665
