,new_epitope_a,new_epitope_b,new_epitope_c,new_epitope_d,new_epitope_e,label
852,1,1,3,0,0,0.257
853,2,1,1,0,0,0.515
854,1,2,1,0,0,0.743
855,1,1,1,0,0,0.789
856,1,4,5,3,1,0.863
857,1,3,1,1,0,1.188
858,2,2,1,0,0,1.219
859,1,0,2,0,0,1.238
860,2,2,1,1,0,1.462
861,0,0,2,1,0,1.495
862,2,2,1,1,0,1.565
863,2,1,1,0,0,1.733
864,2,2,1,1,0,1.788
865,2,1,3,4,1,1.982
866,1,3,2,1,0,2.099
867,2,4,1,1,0,2.143
868,1,2,2,2,0,2.219
869,2,2,1,1,0,2.439
870,1,2,2,1,0,2.476
871,2,3,0,1,0,2.512
872,2,4,2,1,0,2.601
873,2,3,1,0,3,2.642
874,2,2,1,1,0,2.643
875,1,2,2,1,0,3.427
876,1,2,2,1,0,4.219
877,2,3,0,1,3,2.207
878,2,4,1,1,3,2.801
879,2,3,0,1,3,2.915
880,3,5,1,1,3,2.981
881,3,6,1,1,3,3.068
882,4,4,4,4,2,3.416
883,3,6,1,1,3,3.443
884,3,5,1,1,3,3.801
885,3,5,1,1,3,4.008
886,2,5,1,1,3,4.093
887,1,1,1,2,0,0.36
888,1,3,3,1,1,0.733
889,1,1,1,2,0,0.802
890,1,2,0,1,0,3.041
891,1,5,1,4,2,3.199
892,1,5,1,4,2,3.28
893,1,6,1,4,2,3.309
894,3,6,1,4,2,3.817
895,1,4,2,3,2,4.005
896,2,4,1,5,2,4.06
897,2,6,2,5,2,4.652
898,2,6,1,5,2,4.733
899,2,6,1,6,2,4.969
900,3,6,1,5,2,5.36
901,3,8,1,5,2,5.392
902,3,7,1,5,2,5.395
903,4,7,1,6,2,5.686
904,3,7,1,5,2,5.991
905,0,1,0,0,0,0.299
906,0,0,0,0,0,0.863
907,0,0,0,0,0,0.932
908,2,1,0,1,0,3.201
909,0,1,0,0,0,1.402
910,0,0,0,0,0,1.481
911,0,0,0,0,0,1.487
912,2,2,1,1,0,3.427
913,3,2,1,1,0,3.74
914,3,4,0,2,0,4.113
915,4,0,1,0,0,0.166
916,2,0,1,1,0,0.196
917,1,5,1,1,0,0.322
918,4,2,0,1,0,0.562
919,3,1,1,0,0,0.728
920,1,4,1,1,0,1.292
921,6,1,11,14,35,1.746
922,3,1,1,0,1,1.85
923,3,2,8,1,1,2.259
924,0,3,1,4,0,-0.159
925,2,5,1,4,2,0.025
926,0,5,0,3,0,0.932
927,0,4,0,3,0,0.94
928,0,4,0,3,0,0.951
929,2,7,0,2,0,1.164
930,2,5,0,1,0,1.547
931,1,6,1,3,1,1.621
932,1,5,1,2,0,1.779
933,1,5,0,2,0,1.996
934,1,6,0,3,1,2.147
935,1,6,0,3,0,2.155
936,3,5,0,4,0,2.17
937,2,5,2,3,2,2.223
938,1,6,1,5,2,2.395
939,2,5,0,2,0,2.414
940,1,3,0,0,2,2.44
941,2,6,0,3,0,2.683
942,1,5,0,3,0,2.734
943,2,6,2,5,2,2.759
944,2,6,2,5,2,2.94
945,2,5,0,2,0,3.147
946,2,6,4,5,3,3.279
947,1,5,0,4,1,3.44
948,1,7,0,3,0,3.442
949,2,6,0,3,0,3.482
950,1,7,0,3,0,3.986
951,4,3,1,2,2,1.99
952,0,0,1,0,0,0.793
953,0,0,0,0,0,0.812
954,1,3,0,0,0,0.951
955,4,6,0,1,2,1.243
956,4,3,0,1,2,1.697
957,4,3,1,2,2,2.16
958,3,2,1,0,2,2.322
959,0,2,0,0,0,-0.569
960,0,0,0,0,0,0.165
961,0,0,1,0,0,0.306
962,0,0,1,0,0,0.516
963,1,0,3,1,0,0.776
964,2,1,4,0,0,1.309
965,1,1,4,4,1,2.537
966,0,0,0,1,0,0.294
967,3,3,0,1,2,0.68
968,4,3,0,1,2,0.945
969,0,6,0,1,0,1.526
970,4,3,1,1,2,1.581
971,2,4,1,1,4,2.371
972,3,6,0,2,5,2.515
973,1,3,1,1,4,2.537
974,0,7,0,1,0,2.604
975,3,5,0,1,5,3.013
976,1,6,1,1,2,3.249
977,0,8,1,2,0,3.343
978,0,8,1,2,0,3.703
979,1,6,1,2,1,4.144
980,1,1,2,0,0,0.76
981,1,4,4,3,1,1.113
982,1,0,4,0,0,1.292
983,2,1,2,4,1,1.883
984,1,5,2,2,0,0.002
985,0,1,2,0,0,0.315
986,2,3,7,1,1,0.326
987,3,3,1,2,0,0.373
988,5,4,11,15,35,0.471
989,2,4,0,1,0,0.615
990,1,5,0,2,0,0.891
991,1,5,0,1,0,1.098
992,2,4,0,1,1,1.265
993,1,4,1,1,0,1.294
994,1,4,1,1,0,1.424
995,1,4,1,1,0,1.633
996,1,6,2,1,1,1.683
997,2,5,1,1,2,1.792
998,2,7,1,2,0,2.139
999,1,3,1,1,0,2.705
1000,1,6,1,1,1,2.73
1001,2,5,0,2,0,2.864
1002,2,7,2,5,0,3.349
1003,2,5,1,3,0,3.37
1004,2,3,7,1,1,0.326
1005,0,1,7,1,2,0.362
1006,3,1,18,15,35,0.402
1007,0,2,7,2,1,1.177
1008,1,3,7,2,2,2.261
1009,4,2,12,15,35,0.67
1010,4,2,11,16,36,2.746
1011,5,1,12,16,36,2.758
1012,3,0,11,14,35,-0.237
1013,0,0,0,0,1,0.199
1014,1,1,2,1,0,0.611
1015,2,4,0,1,0,0.615
1016,0,1,7,1,1,0.835
1017,2,3,2,1,0,1.292
1018,0,1,0,2,0,1.86
1019,0,3,3,3,0,3.284
1020,1,2,0,2,1,3.426
1021,2,3,2,4,0,3.459
1022,0,2,2,3,1,3.471
1023,1,2,0,2,1,3.528
1024,2,2,0,3,0,3.961
1025,1,3,0,2,1,4.003
1026,1,2,0,3,1,4.265
1027,1,2,0,1,1,4.309
1028,0,5,3,4,1,4.5
1029,1,2,0,2,2,5.161
1030,1,1,1,0,0,-0.596
1031,0,3,2,2,1,0.5
1032,0,2,2,0,1,0.5
1033,0,1,1,0,0,0.665
1034,1,4,1,1,0,1.825
1035,0,0,0,1,1,-0.461
1036,0,1,0,2,1,0.065
1037,0,0,0,2,1,0.558
1038,1,3,7,2,3,3.551
1039,1,2,0,2,3,4.671
1040,2,4,0,2,2,1.0
1041,2,7,1,5,4,4.86
1042,0,2,1,2,1,0.06
1043,0,0,1,0,0,0.084
1044,1,3,1,1,1,0.792
1045,0,3,2,2,2,1.0
1046,2,3,1,3,1,1.158
1047,1,6,2,1,1,1.683
1048,1,3,0,1,1,1.5
1049,0,4,0,3,0,0.951
1050,0,1,1,1,0,1.505
1051,2,3,1,3,2,1.585
1052,1,1,0,3,0,1.956
1053,1,1,0,3,0,2.0
1054,2,3,1,3,2,2.085
1055,0,1,1,1,0,2.505
1056,0,2,0,2,1,1.08
1057,2,2,0,1,0,-0.466
1058,1,1,0,0,0,0.95
1059,1,1,0,0,0,1.111
1060,2,2,0,2,0,1.359
1061,0,4,1,1,0,0.22
1062,0,1,1,0,0,0.5
1063,2,2,1,2,0,2.5
1064,2,1,1,1,0,-0.056
1065,2,4,0,1,2,0.151
1066,2,0,0,1,0,0.17
1067,2,2,0,3,0,0.227
1068,3,0,0,1,0,1.151
1069,3,1,0,2,0,1.762
1070,1,3,0,1,0,0.22
1071,1,0,0,0,0,1.0
1072,0,1,1,0,1,0.241
1073,0,2,2,0,1,0.5
1074,0,3,2,2,2,1.0
1075,0,1,1,4,1,-0.225
1076,0,1,1,4,1,-0.14
1077,1,1,2,4,1,0.5
1078,1,3,4,4,2,0.915
1079,1,3,4,4,2,1.254
1080,1,1,2,4,1,1.696
1081,1,2,1,3,1,3.585
1082,1,2,1,3,1,3.67
1083,1,4,1,3,1,3.959
1084,1,4,1,3,1,4.044
1085,0,1,3,1,1,2.77
1086,2,4,4,4,3,3.33
1087,2,4,4,4,3,3.669
1088,2,3,5,3,3,3.846
1089,0,2,4,2,1,0.33
1090,0,1,1,1,0,2.611
1091,0,1,1,1,0,3.085
1092,2,4,2,4,2,3.5
1093,2,3,3,3,2,3.541
1094,2,4,2,4,2,4.111
1095,1,1,3,0,1,0.262
1096,1,2,3,2,3,0.428
1097,1,1,2,2,2,0.634
1098,2,2,2,1,2,1.22
1099,2,1,2,2,2,1.352
1100,2,5,2,3,2,2.223
1101,5,1,12,16,36,2.758
