id,HA
0,A/HONGKONG/2652/2006
1,A/ST.PETERSBURG/10/2007
2,A/HONGKONG/1856/2008
3,A/NETHERLANDS/128/2004
4,A/THESSALONIKI/24/2005
5,A/HUNGARY/2/2003
6,A/EGYPT/96/2002
7,A/CHILE/8885/2002
8,A/FUKUSHIMA/97/2006
9,A/SEYCHELLES/2239/2008
10,A/ST.PETERSBURG/5/2008
11,A/NETHERLANDS/345/2007
12,A/EGYPT/10/2007
13,A/NEWJERSEY/8/1976
14,A/SWITZERLAND/4217/2019
15,A/CHRISTCHURCH/16/2010
16,A/ENGLAND/106/2010
17,A/ENGLAND/195/2009
18,A/CALIFORNIA/4/2009
19,A/CALIFORNIA/7/2009
20,A/HONGKONG/2212/2010
21,A/HONGKONG/2200/2010
22,A/ST.PETERSBURG/100/2011
23,A/BAYERN/69/2009
24,A/LVIV/N6/2009
25,A/AUCKLAND/3/2009
26,A/NARITA/1/2009
27,A/ENGLAND/87/2010
28,A/HONGKONG/3934/2011
29,A/VORONEZH/01/2011
30,A/ST.PETERSBURG/27/2011
31,A/SOUTHAFRICA/3626/2013
32,X-243(A/SOUTHAFRICA/3626/2013)
33,A/HONGKONG/5659/2012
34,A/DOMINICANREPUBLIC/7293/2013
35,A/NEWJERSEY/13/2018
36,A/BRISBANE/02/2018
37,A/IRELAND/87733/2019
38,A/SWITZERLAND/2656/2017
39,A/IRELAND/84630/2018
40,A/GREECE/144/2019
41,A/NORTHCAROLINA/01/2021
42,A/GUANGDONG-MAONAN/SWL1536/2019
43,A/HONGKONG/2655/2019
44,A/NORWAY/3433/2018
45,CNIC-1909(A/GUANGDONG-MAONAN/SWL1536/2019)
46,A/TOGO/881/2020
47,A/GHANA/1894/2021
48,A/TOAMASINA/00806/2020
49,A/SWITZERLAND/3330/2017
50,A/SLOVENIA/2794/2017
51,A/HONGKONG/4989/2017
52,A/MICHIGAN/272/2017
53,A/PARIS/1447/2017
54,A/MICHIGAN/45/2015
55,A/SLOVENIA/2903/2015
56,A/YOKOHAMA/94/2015
57,A/ISRAEL/Q-504/2015
58,A/HONGKONG/90/2016
59,A/OHIO/2/2007
60,A/UKRAINE/6907/2015
61,A/LYON/820/2021
62,A/HEILONGJIANG-XIANGFANG/191/2011
63,A/DENMARK/3280/2019
64,A/VICTORIA/2570/2019
65,IVR-215(A/VICTORIA/2570/2019)
66,A/NORWAY/25089/2022
67,A/NORWAY/31694/2022
68,A/SYDNEY/5/2021
69,A/STOCKHOLM/10/2021
70,A/ASTRAKHAN/1/2011
71,A/EGYPT/39/2005
72,A/NEWCALEDONIA/20/1999
73,A/BEIJING/262/1995
74,A/HONGKONG/110/2019
75,A/HONGKONG/2637/2004
76,A/SOLOMONISLANDS/3/2006
77,A/FUKUSHIMA/141/2006
78,A/MOSCOW/2/2009
79,A/HONGKONG/1988/2009
80,A/ST.PETERSBURG/12/2008
81,A/BRISBANE/59/2007
82,A/HONGKONG/1870/2008
83,CNIC-1909(A/GUANGDONG-MAONA/SWL1536/2019)
