strainName1,strainName2,distance
25,30,0.215
20,30,0.254
15,18,0.992
15,29,0.437
21,19,0.456
26,13,0.325
32,28,-0.079
32,33,-0.101
32,30,-0.065
54,30,0.4
39,37,0.342
19,30,0.544
33,57,0.978
19,55,-0.029
38,39,0.15
31,30,0.34
42,39,0.389
39,53,0.211
54,22,0.072
53,49,0.643
31,22,0.407
19,38,0.379
30,22,-0.023
55,39,0.42
36,38,0.067
31,55,0.317
39,54,0.199
39,55,0.42
57,70,0.565
81,77,0.064
54,57,0.103
63,68,0.211
19,22,0.579
63,66,0.427
55,31,0.317
23,17,1.486
38,19,0.379
54,55,0.062
55,53,0.487
75,72,-0.08
36,47,0.291
25,13,0.174
15,55,0.793
53,33,0.966
42,54,0.574
31,70,0.363
57,53,0.298
38,70,0.695
70,55,0.245
23,24,0.2
23,16,0.73
23,58,2.23
24,16,0.436
54,14,0.013
31,51,0.547
30,58,0.067
19,54,0.15
55,60,0.391
15,58,1.068
12,77,0.207
68,65,0.462
36,55,0.238
49,38,0.432
39,42,0.389
49,36,0.353
33,54,0.865
37,36,0.1
38,53,0.319
19,57,0.289
19,70,0.523
70,28,0.015
66,68,0.6
28,33,-0.099
24,30,1.358
4,75,0.191
31,54,0.247
54,19,0.15
33,31,0.652
28,31,0.411
33,38,1.012
31,57,0.746
47,42,0.289
30,70,0.055
24,19,0.899
44,24,2.098
42,49,0.67
63,65,0.288
81,12,-0.189
81,10,-0.339
12,10,-0.085
54,40,-0.411
33,52,1.399
71,72,0.482
31,52,0.416
31,60,0.623
70,52,1.038
39,40,0.246
57,56,0.241
55,40,0.467
56,33,0.314
22,60,0.846
25,28,0.409
20,70,0.564
54,39,0.199
70,57,0.565
47,37,0.507
54,37,0.369
81,12,-0.233
54,70,0.418
33,19,0.91
36,37,0.1
23,30,1.425
24,22,2.28
70,38,0.695
70,54,0.418
36,39,0.119
49,47,0.717
37,47,0.507
54,31,0.247
36,54,0.041
12,81,-0.233
30,28,-0.037
36,53,0.088
0,8,-0.193
82,0,0.272
54,50,0.674
28,34,0.713
30,34,0.728
19,50,0.748
70,51,0.33
70,50,0.83
57,51,0.533
55,14,0.052
38,14,1.077
20,16,0.611
15,16,0.729
15,22,1.084
70,31,0.363
3,75,0.5
15,30,1.037
38,49,0.432
47,53,0.664
49,37,0.532
31,53,0.308
15,70,0.919
23,19,1.092
37,53,0.194
31,56,0.047
70,56,0.17
38,40,1.123
39,49,0.44
66,65,0.759
49,39,0.44
54,53,0.272
23,22,2.242
70,19,0.523
55,49,0.788
19,31,0.653
77,8,0.925
37,42,0.002
31,28,0.411
2,76,1.547
17,16,0.823
25,16,0.669
31,19,0.653
57,31,0.746
19,52,1.163
54,42,0.574
7,6,0.621
36,42,0.215
53,44,0.507
30,55,0.244
15,57,1.273
2,9,0.311
49,54,0.656
49,55,0.788
19,56,-0.088
30,31,0.34
4,72,0.664
3,71,0.797
71,6,1.068
55,33,0.546
24,31,1.898
70,33,0.175
24,70,2.01
23,70,1.814
19,54,-0.119
67,63,0.441
67,66,0.407
80,10,0
46,36,0.44
46,37,0.759
23,27,1.599
23,52,2.391
76,77,0
77,8,0.035
7,5,0.5
7,72,0.163
12,77,0.424
12,80,0
6,3,1.196
6,72,0.192
6,4,0.937
51,70,0.33
51,57,0.533
51,54,0.381
51,53,0.352
51,50,0.5
51,30,0.935
51,49,0.192
1,4,1.23
10,81,-0.339
10,77,0.424
60,70,0.67
60,19,1.087
60,15,2.068
60,57,-0.259
60,55,0.391
60,22,0.846
60,30,0.643
45,36,0.44
8,77,0.035
49,43,0.692
49,51,0.192
49,35,0.192
49,30,1.42
49,45,0.692
37,54,0.369
75,7,0.792
75,6,0.424
24,34,2.805
24,58,2.805
24,52,1.597
24,13,0.673
24,56,1.805
13,23,0.467
13,24,0.673
54,19,-0.119
54,51,0.381
54,35,0.381
33,51,0.899
33,35,0.899
33,60,0.899
71,75,0.196
31,49,1.108
11,10,0.924
36,40,-0.06
36,45,0.44
19,51,0.956
19,35,0.456
19,13,0.253
40,38,1.123
40,49,0.9
40,14,0.5
43,39,0.538
43,44,-0.031
43,53,0.352
43,55,0.76
43,49,0.692
5,7,0.5
5,6,1
35,33,0.899
69,63,0.649
69,68,0.246
69,65,0.292
14,38,1.077
14,49,0.824
29,70,0.038
29,19,-0.044
29,28,0.421
29,22,0.477
45,36,0.44
45,39,0.038
45,54,-0.119
45,53,0.352
70,35,0.038
2,78,1.45
42,46,0.381
47,41,0.143
47,49,0.717
55,19,0.76
38,19,0.784
38,31,0.408
52,70,1.038
52,19,1.163
52,57,1.033
52,54,0.674
52,55,0.552
65,67,1.292
53,22,0.99
53,46,0.852
3,71,0.807
17,28,0.855
34,33,0.692
58,33,0.531
50,31,0.916
68,66,0.907
68,65,0.792
20,22,1.457
62,24,0.805
53,24,2.268
42,44,0.301
23,31,1.678
23,38,1.642
37,39,0.342
19,53,0.519
19,28,1.181
49,53,0.643
70,53,0.514
30,54,0.4
36,49,0.353
11,76,0.991
49,19,0.84
49,70,1.106
72,3,0.92
19,34,1.052
4,71,0.73
3,72,0.92
17,13,0.834
19,49,0.84
49,42,0.67
33,53,0.966
30,33,0.13
15,19,1.308
23,51,1.23
76,8,0.365
6,75,0.424
49,14,0.824
30,38,0.851
19,16,0.587
70,60,0.67
54,49,0.656
15,31,1.271
30,19,0.544
6,7,0.621
38,33,1.012
72,4,0.664
12,81,-0.189
31,33,0.652
24,38,1.65
77,76,0
24,28,2.206
23,57,2.411
20,24,0.644
23,54,1.789
23,55,2.263
9,11,0.908
30,57,0.748
9,11,0.839
46,42,0.381
23,56,2.099
0,10,0.319
72,75,-0.08
78,76,1.83
10,12,-0.085
10,76,-0.67
8,76,0.365
77,12,0.207
49,40,0.9
33,49,1.343
30,60,0.643
11,78,1.113
66,67,0.407
4,6,0.937
20,28,0.947
15,56,1.144
81,11,1.539
39,44,0.431
8,77,0.925
55,44,0.718
37,44,0.168
28,19,1.181
3,7,2.122
3,6,1.456
37,49,0.532
15,28,1.325
4,71,1.006
81,76,0.702
6,3,1.456
70,49,1.106
9,76,1.076
23,50,2.391
23,14,1.891
82,81,1.114
81,0,1.217
8,0,-0.193
71,77,1.752
30,50,1.228
2,82,1.404
2,0,1.515
63,67,0.441
3,6,1.196
15,34,2.229
19,33,0.91
68,67,1.057
77,81,0.064
57,33,0.978
72,7,0.163
61,37,1.708
79,2,1.289
79,78,1.047
30,52,1.067
30,56,0.274
2,79,1.289
78,11,1.113
72,6,0.192
77,0,0.404
6,4,1.806
24,55,2.299
38,44,0.602
9,2,0.311
23,34,2.988
82,9,1.126
18,24,0.674
30,53,0.693
38,24,1.65
6,71,1.068
54,44,0.565
82,78,1.784
78,9,0.784
42,61,1.523
23,36,1.795
15,33,1.201
81,11,1.557
54,33,0.865
36,24,1.777
19,44,0.735
36,44,0.405
19,24,0.899
76,0,0.528
24,57,2.691
24,54,2.201
71,77,2.295
19,70,1.038
19,33,0.899
19,53,0.352
19,55,0.76
19,38,0.784
67,68,1.057
80,81,0.453
80,12,0
46,53,0.852
46,49,0.692
23,43,2.599
23,35,2.599
23,13,0.467
0,77,0.404
76,80,1.011
77,81,-0.415
77,12,0.424
77,10,0.424
81,80,0.453
7,73,2.5
7,6,1
7,75,0.792
7,3,1.904
12,0,1.243
6,73,2.5
6,7,1
6,5,1
79,0,1.819
51,19,0.956
51,33,0.899
51,24,1.305
51,55,0.552
51,31,0.547
10,0,0.319
10,11,0.924
10,80,0
60,33,0.899
60,31,0.623
45,39,0.538
45,54,0.381
45,53,0.852
45,49,0.692
8,4,3.341
49,31,1.108
49,46,0.692
24,19,1.805
24,43,2.305
24,51,1.305
24,35,1.805
24,50,2.805
24,14,2.305
24,60,2.305
33,19,0.899
33,39,0.938
71,1,1.904
30,51,0.935
36,46,0.44
19,39,0.994
5,73,3
35,24,1.805
45,44,0.469
45,49,0.692
70,19,1.038
70,39,1.076
42,41,1.961
4,1,1.23
52,33,1.399
52,24,1.597
3,7,1.904
18,13,0.749
16,23,0.73
62,23,1.099
21,24,1.173
32,19,1.456
49,44,0.626
4,6,1.806
0,76,0.528
49,33,1.343
72,71,0.482
61,47,1.973
76,81,0.702
61,42,1.523
12,11,2.212
76,11,0.991
44,23,1.848
23,53,1.818
11,9,0.908
80,0,0.708
24,36,1.777
8,3,4.053
9,78,0.969
33,44,0.868
8,4,3.961
24,33,2.03
80,11,1.556
82,2,1.404
76,12,1.339
12,11,2.187
19,60,1.087
44,74,3.939
15,60,2.068
23,39,2.748
7,3,2.122
81,8,2.674
8,11,3.138
15,24,1.522
24,23,0.2
23,40,2.306
23,42,2.98
23,49,2.022
41,46,1.304
79,81,2.368
79,76,2.623
78,79,1.047
78,9,0.969
56,24,1.805
33,24,2.03
77,11,2.127
4,11,2.916
11,81,1.557
49,24,2.261
11,77,2.127
23,28,2.683
53,23,1.818
23,33,2.486
11,81,1.539
82,76,1.576
12,76,1.339
71,76,2.5
30,49,1.42
2,81,3.357
47,61,1.973
70,44,0.957
79,82,1.915
79,9,1.208
78,2,1.45
11,9,0.839
53,61,3.052
55,24,2.299
41,37,2.677
11,4,2.916
41,42,1.961
81,78,2.368
48,42,2.619
11,12,2.212
17,24,1.364
30,24,1.358
39,24,2.874
9,79,1.208
9,78,0.784
19,44,0.469
19,49,1.692
67,65,1.292
23,74,3.438
0,2,1.515
0,82,0.272
0,11,2.292
0,80,0.708
9,12,2.335
9,4,3.409
72,73,2.324
61,36,2.398
61,49,2.392
82,11,2.5
41,65,3.681
76,82,1.576
77,11,2.348
81,82,1.114
79,11,2.924
78,72,2.324
1,71,1.904
1,72,2.324
48,36,3.072
48,37,2.891
45,44,0.469
8,72,2.935
49,19,1.692
37,46,0.759
11,77,2.348
11,2,1.374
11,80,1.556
11,4,3.154
40,74,4.339
43,24,2.305
14,24,2.305
29,24,1.305
71,8,3.377
4,11,3.154
65,36,3.877
53,48,3.06
27,23,1.599
27,24,1.693
50,24,2.805
25,24,1.408
24,49,2.261
42,48,2.619
54,24,2.201
24,39,2.874
44,63,4.171
22,24,2.28
80,76,1.011
36,61,2.398
77,71,2.295
24,53,2.268
20,23,1.207
81,4,3.804
9,81,2.246
9,0,1.611
0,12,1.243
76,2,1.547
77,71,1.752
8,71,2.778
49,48,2.531
71,8,2.778
11,12,2.187
4,76,3.069
9,81,2.497
8,71,3.377
64,36,4.022
53,41,3.402
65,47,4.469
49,64,3.91
12,4,4.1
42,65,4.101
70,24,2.01
57,24,2.691
31,24,1.898
23,44,1.848
19,23,1.092
46,41,1.304
82,79,1.915
81,4,3.891
48,53,3.06
48,49,2.531
11,82,2.5
64,37,3.66
38,74,4.831
53,74,4.399
21,23,1.806
65,37,3.993
38,23,1.642
53,64,4.634
37,61,1.708
77,4,3.572
11,0,2.292
76,4,3.069
12,4,4.022
24,74,4.436
54,74,4.513
11,8,3.138
2,72,3.728
77,4,3.884
28,24,2.206
8,81,2.674
36,23,1.795
0,4,3.019
49,61,2.392
24,40,3.644
4,0,3.019
42,64,4.031
53,63,4.748
0,81,1.217
61,65,3.73
11,72,3.048
17,23,1.486
25,23,1.571
76,71,2.5
42,63,4.631
72,11,3.048
78,81,3.083
18,23,1.41
64,42,4.031
72,76,2.907
65,42,4.101
15,23,1.779
9,82,1.126
19,24,1.805
80,4,3.73
46,65,3.792
0,78,2.611
0,9,1.611
72,5,1.324
72,78,2.324
72,1,2.324
72,10,2.824
61,53,3.052
41,36,3.405
41,53,3.402
41,49,3.242
41,68,4.135
76,9,1.076
73,72,2.324
51,23,1.23
78,81,2.368
78,82,1.784
78,0,2.611
78,11,1.424
10,72,2.824
10,4,3.73
48,64,4.044
60,24,2.305
12,9,2.335
11,79,2.924
36,74,4.44
40,23,2.306
40,24,3.644
14,23,1.891
14,74,4.339
63,45,4.649
4,10,3.73
68,36,4.686
55,74,5.099
56,23,2.099
74,53,4.399
74,14,4.339
53,68,5.098
53,65,4.73
34,24,2.805
58,24,2.805
50,23,2.391
32,24,2.305
49,23,2.022
65,49,4.182
68,47,4.935
81,78,3.083
36,41,3.405
65,53,4.73
42,68,4.902
54,63,4.641
54,23,1.789
49,63,4.458
24,44,2.098
9,72,2.824
81,72,3.409
12,72,3.455
37,48,2.891
71,0,3.354
36,48,3.072
63,47,4.988
30,23,1.425
4,77,3.884
31,23,1.678
22,23,2.242
36,65,3.877
37,64,3.66
77,72,3.166
49,41,3.242
49,65,4.182
37,41,2.677
4,77,3.572
74,36,4.44
37,63,4.52
36,63,4.697
70,23,1.814
61,63,4.205
81,9,2.497
33,23,2.486
0,71,3.354
0,79,1.819
76,78,1.83
76,72,2.907
81,79,2.368
39,74,5.085
55,23,2.263
65,61,3.73
68,47,5.462
37,65,3.993
0,72,3.178
72,77,3.166
47,65,4.469
